timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP,CA
2024-07-30,618.4,599.55,607.25,607.2,609.9,606.85,456143,277719783.0,627.3,406.15,608.84,
2024-07-31,612.0,601.05,611.0,605.2,609.35,607.2,279260,169126294.95,627.3,406.15,605.62,
2024-08-01,627.25,606.0,612.75,612.55,613.0,605.2,1029380,637211504.9,627.3,406.15,619.02,
2024-08-02,650.5,600.1,608.75,640.2,639.15,612.55,2988641,1904953223.9,650.5,406.15,637.4,"[{'symbol': 'JUBLINGREA', 'series': 'EQ', 'ind': '-', 'faceVal': '1', 'subject': 'Dividend - Rs 2.50 Per Share', 'exDate': '02-Aug-2024', 'recDate': '02-Aug-2024', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Jubilant Ingrevia Limited', 'isin': 'INE0BY001018', 'ndEndDate': '-', 'caBroadcastDate': None}]"
2024-08-05,626.4,600.05,626.3,610.1,611.0,640.2,1164461,715240751.8,650.5,406.15,614.22,
2024-08-06,627.7,602.55,611.0,605.45,606.75,610.1,410112,252407777.5,650.5,406.15,615.46,
2024-08-07,679.5,610.45,619.0,670.5,668.6,605.45,4307310,2824916333.3,679.5,406.15,655.84,
2024-08-08,681.9,655.3,665.9,658.6,656.1,670.5,1405884,936761440.8,681.9,406.15,666.31,
2024-08-09,717.0,663.5,663.5,708.5,711.5,658.6,3430676,2382653307.85,717.0,406.15,694.51,
2024-08-12,726.0,691.6,716.0,697.5,705.05,708.5,2561276,1808902253.65,726.0,406.15,706.25,
2024-08-13,708.0,661.0,708.0,664.2,665.0,697.5,921324,624614496.9,726.0,406.15,677.95,
2024-08-14,670.7,642.05,669.7,654.45,656.6,664.2,909433,592238512.1,726.0,406.15,651.22,
2024-08-16,659.4,639.05,653.0,643.35,641.0,654.45,366309,237084930.15,726.0,406.15,647.23,
2024-08-19,669.55,639.7,650.0,643.9,645.0,643.35,705155,459474438.8,726.0,406.15,651.59,
2024-08-20,650.0,630.65,645.0,635.4,635.55,643.9,340669,216966370.8,726.0,406.15,636.88,
2024-08-21,652.15,627.05,635.05,639.8,641.25,635.4,537874,343180029.9,726.0,406.15,638.03,
2024-08-22,713.75,646.9,646.95,692.0,686.0,639.8,4746807,3269451408.75,726.0,406.15,688.77,
2024-08-23,692.0,672.45,692.0,675.8,679.0,692.0,988623,672939440.55,726.0,406.15,680.68,
2024-08-26,680.0,660.0,680.0,662.7,663.0,675.8,385801,258281776.4,726.0,406.15,669.47,
2024-08-27,684.0,660.05,664.95,663.25,664.35,662.7,440939,295597302.75,726.0,406.15,670.38,
2024-08-28,667.9,648.15,665.0,653.35,652.5,663.25,438636,287062343.8,726.0,406.15,654.44,
