timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP
2024-07-30,321.35,314.65,318.0,315.3,315.5,317.1,8676497,2756199923.25,353.7,60.75,317.66
2024-07-31,317.05,311.5,316.9,312.25,312.1,315.3,6477202,2031874542.9,353.7,60.75,313.7
2024-08-01,316.1,304.35,315.0,306.05,306.8,312.25,8439723,2605742198.45,353.7,60.75,308.75
2024-08-02,312.2,296.5,299.95,306.2,306.2,306.05,10251946,3129009520.0,353.7,60.75,305.21
2024-08-05,299.35,286.3,291.15,290.15,289.8,306.2,15959538,4663362644.1,353.7,61.3,292.2
2024-08-06,304.15,284.1,298.6,285.8,286.0,290.15,13874339,4083108022.1,353.7,61.3,294.29
2024-08-07,299.7,287.3,295.0,298.5,298.5,285.8,9510995,2793550051.35,353.7,61.3,293.72
2024-08-08,299.4,288.0,297.5,289.3,288.95,298.5,9655442,2822148097.3,353.7,61.3,292.29
2024-08-09,299.0,288.0,292.5,292.2,292.3,289.3,11136585,3268452523.3,353.7,61.3,293.49
2024-08-12,312.9,293.35,295.0,300.1,300.4,292.2,28812166,8787599233.55,353.7,64.5,305.0
2024-08-13,309.7,285.0,309.7,287.55,289.9,300.1,15275331,4555824142.3,353.7,64.5,298.25
2024-08-14,294.0,286.0,293.05,288.0,289.1,287.55,7373985,2132671384.05,353.7,64.5,289.22
2024-08-16,294.2,286.0,290.6,291.8,290.0,288.0,7591926,2194477965.7,353.7,64.5,289.05
2024-08-19,297.8,289.0,292.0,289.9,290.25,291.8,7519534,2198300529.9,353.7,67.65,292.35
2024-08-20,291.85,282.15,291.25,283.95,284.25,289.9,6249016,1791370927.1,353.7,67.65,286.66
2024-08-21,289.45,283.05,284.5,285.15,285.0,283.95,5274462,1509911556.3,353.7,67.65,286.27
2024-08-22,292.7,284.4,287.1,285.45,286.4,285.15,8212130,2365563670.9,353.7,67.65,288.06
2024-08-23,287.1,283.25,286.65,284.35,284.4,285.45,3954334,1125996601.2,353.7,67.65,284.75
2024-08-26,286.4,277.5,286.0,278.4,278.85,284.35,6022543,1689299753.8,353.7,67.65,280.5
2024-08-27,282.8,277.45,279.0,278.65,278.25,278.4,4550366,1272198244.25,353.7,67.65,279.58
2024-08-28,299.7,278.8,280.35,289.95,288.85,278.65,38822559,11329568088.55,353.7,67.65,291.83
