timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP,CA
2024-07-30,843.95,790.4,799.95,821.95,820.0,798.6,1359927,1119652456.3,843.95,368.15,823.32,
2024-07-31,898.0,826.8,827.45,874.7,874.0,821.95,5444682,4762261734.45,898.0,368.15,874.66,
2024-08-01,898.0,871.05,877.25,884.85,882.0,874.7,1301383,1147911548.75,898.0,368.15,882.07,
2024-08-02,884.6,855.2,875.55,858.05,859.75,884.85,713048,620658866.1,898.0,368.15,870.43,
2024-08-05,849.95,810.6,840.85,823.65,822.35,858.05,794368,656170739.95,898.0,375.0,826.03,
2024-08-06,867.3,820.0,840.1,831.2,833.0,823.65,771583,656351313.05,898.0,375.0,850.66,
2024-08-07,858.9,838.1,848.0,843.45,848.95,831.2,541097,459145829.5,898.0,375.0,848.55,
2024-08-08,915.0,846.3,849.0,909.0,901.95,843.45,3033793,2712663574.75,915.0,375.0,894.15,
2024-08-09,1090.8,915.0,919.05,1075.35,1090.8,909.0,12535899,12748648837.95,1090.8,375.0,1016.97,
2024-08-12,1058.45,996.0,1052.25,1021.05,1018.0,1075.35,3241552,3304550962.5,1090.8,375.0,1019.43,
2024-08-13,1059.85,1001.05,1030.05,1016.35,1021.95,1021.05,1308223,1355980225.05,1090.8,375.0,1036.51,
2024-08-14,1030.0,980.05,1022.0,992.85,995.0,1016.35,630522,626814328.65,1090.8,375.0,994.12,
2024-08-16,1038.8,995.05,1005.0,1005.45,1004.0,992.85,801069,809144360.1,1090.8,375.0,1010.08,
2024-08-19,1037.0,1004.25,1020.9,1020.9,1017.0,1005.45,1096501,1120149302.55,1090.8,375.05,1021.57,
2024-08-20,1027.4,995.25,1027.4,1003.3,1006.0,1020.9,460408,462269680.7,1090.8,375.05,1004.04,
2024-08-21,1063.35,995.0,1005.0,1049.55,1042.0,1003.3,1120018,1155301189.5,1090.8,375.05,1031.5,
2024-08-22,1057.0,1011.1,1056.0,1015.9,1018.0,1049.55,586078,603504561.9,1090.8,375.05,1029.73,
2024-08-23,1019.15,984.1,1015.9,993.15,992.0,1015.9,459934,457229169.15,1090.8,375.05,994.12,"[{'symbol': 'KFINTECH', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': 'Dividend - Rs 5.75 Per Share', 'exDate': '23-Aug-2024', 'recDate': '23-Aug-2024', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Kfin Technologies Limited', 'isin': 'INE138Y01010', 'ndEndDate': '-', 'caBroadcastDate': None}]"
2024-08-26,1013.0,976.05,980.0,1009.2,1009.8,993.15,637453,637609119.95,1090.8,412.35,1000.24,
2024-08-27,1189.0,1013.1,1013.1,1148.0,1144.0,1009.2,11480772,12812709192.0,1189.0,412.35,1116.01,
2024-08-28,1145.65,1068.0,1144.05,1073.25,1076.0,1148.0,2329363,2570865674.9,1189.0,412.35,1103.68,
