timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP,CA
2024-07-30,771.0,753.0,762.0,754.95,755.4,759.15,5190935,3945067973.15,825.95,432.3,759.99,
2024-07-31,767.7,711.0,762.0,715.1,717.5,754.95,6287938,4632388505.15,825.95,432.3,736.71,
2024-08-01,733.8,714.25,724.75,721.7,722.5,715.1,2415217,1745078120.6,825.95,432.3,722.53,
2024-08-02,729.0,703.7,714.1,722.6,721.9,721.7,1604774,1151658940.75,825.95,432.3,717.65,
2024-08-05,709.9,685.0,705.0,687.35,687.45,722.6,1615941,1121984727.65,825.95,432.3,694.32,
2024-08-06,705.15,682.95,699.95,689.9,688.1,687.35,1078296,748415953.1,825.95,432.3,694.07,
2024-08-07,701.4,681.55,696.0,697.15,699.0,689.9,878943,609778737.0,825.95,432.3,693.76,
2024-08-08,706.4,688.3,697.15,690.05,691.5,697.15,809181,562774735.15,825.95,432.3,695.49,"[{'symbol': 'RITES', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': 'Interim Dividend - Rs 2.50 Per Share', 'exDate': '08-Aug-2024', 'recDate': '08-Aug-2024', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'RITES Limited', 'isin': 'INE320J01015', 'ndEndDate': '-', 'caBroadcastDate': None}]"
2024-08-09,695.0,682.0,695.0,685.15,682.0,690.05,642436,441980442.3,825.95,432.3,687.98,
2024-08-12,687.0,671.05,683.85,675.7,675.5,685.15,1175283,798886007.5,825.95,432.3,679.74,
2024-08-13,684.9,666.7,679.8,668.8,669.95,675.7,659349,445553462.05,825.95,432.3,675.75,
2024-08-14,670.25,651.25,668.4,654.1,657.0,668.8,923766,606393498.75,825.95,432.3,656.44,
2024-08-16,668.0,654.0,658.25,655.45,656.3,654.1,666524,439614671.45,825.95,432.3,659.56,
2024-08-19,673.55,659.0,660.0,667.6,667.0,655.45,761117,509216475.65,825.95,432.3,669.04,
2024-08-20,671.25,659.0,671.25,661.85,661.5,667.6,534470,354468212.5,825.95,432.3,663.21,
2024-08-21,666.2,656.0,663.85,660.15,660.5,661.85,473964,313447503.25,825.95,432.3,661.33,
2024-08-22,663.3,655.05,663.3,656.75,656.0,660.15,646412,425453586.3,825.95,432.3,658.18,
2024-08-23,673.0,649.6,657.8,651.65,653.8,656.75,2102570,1389350392.8,825.95,432.3,660.79,
2024-08-26,658.9,645.0,655.2,649.25,649.9,651.65,701491,455906996.55,825.95,432.3,649.91,
2024-08-27,656.15,646.45,650.4,653.7,654.0,649.25,607016,395730513.8,825.95,432.3,651.93,
2024-08-28,667.0,652.5,656.2,657.95,657.5,653.7,866633,571651542.5,825.95,432.3,659.62,
