timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP
2024-08-02,4128.35,4030.0,4060.05,4044.4,4049.8,4163.65,178381,722941828.85,4951,2612.2,4052.8
2024-08-05,3975.8,3784.9,3910.2,3886.45,3900.0,4044.4,279185,1082250413.0,4951,2612.2,3876.46
2024-08-06,3965.95,3790.0,3943.95,3820.25,3804.5,3886.45,120945,465082782.75,4951,2612.2,3845.41
2024-08-07,3958.8,3804.5,3940.0,3939.15,3955.0,3820.25,122565,479407640.55,4951,2612.2,3911.46
2024-08-08,3950.0,3810.5,3940.0,3896.85,3896.2,3939.15,88513,343801727.15,4951,2612.2,3884.19
2024-08-09,3990.25,3872.6,3937.65,3960.7,3950.0,3896.85,86095,339282097.65,4951,2612.2,3940.79
2024-08-12,4041.9,3865.0,3950.0,4026.5,4029.0,3960.7,101980,406272737.4,4951,2612.2,3983.85
2024-08-13,4033.95,3905.0,3975.0,4013.7,3990.0,4026.5,118113,469862341.9,4951,2612.2,3978.07
2024-08-14,4014.0,3866.0,4014.0,3955.6,3935.0,4013.7,105228,413287814.65,4951,2612.2,3927.55
2024-08-16,4040.0,3931.15,3960.0,4032.0,4029.0,3955.6,52485,209858606.65,4951,2612.2,3998.45
2024-08-19,4070.0,3947.55,4057.95,3972.6,3955.5,4032.0,47875,190448690.1,4951,2612.2,3978.04
2024-08-20,3993.95,3928.0,3973.95,3963.6,3959.0,3972.6,73319,291131757.5,4951,2612.2,3970.75
2024-08-21,4145.0,3935.05,3975.0,4121.35,4130.0,3963.6,196149,793766314.55,4951,2612.2,4046.75
2024-08-22,4177.45,4040.05,4130.0,4063.2,4050.3,4121.35,94988,387384483.25,4951,2612.2,4078.25
2024-08-23,4120.0,4035.0,4069.3,4100.3,4104.05,4063.2,61795,252450295.85,4951,2612.2,4085.29
2024-08-26,4126.85,3936.05,4107.9,3985.1,3997.0,4100.3,104244,415492905.15,4951,2612.2,3985.77
2024-08-27,4027.45,3927.0,4005.05,3936.0,3927.0,3985.1,58411,230882462.05,4951,2612.2,3952.72
2024-08-28,3953.0,3881.0,3942.0,3894.75,3882.55,3936.0,60959,237880855.1,4951,2612.2,3902.31
2024-08-29,3960.6,3862.05,3899.0,3879.8,3885.8,3894.75,120665,468816378.75,4951,2612.2,3885.27
2024-08-30,4048.75,3886.0,3899.0,3941.65,3952.0,3879.8,149297,594270104.75,4951,2612.2,3980.46
