timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,285.2,281.25,285.0,282.7,282.9,283.4,14322702,4053423934.35,299.7,182.65,INE028A01039,283.01,-0.81,0.88,-0.25,nan,nan,nan,nan
2024-06-14,287.5,281.6,283.0,286.25,286.0,282.7,13911039,3964857037.6,299.7,182.65,INE028A01039,285.02,1.15,0.44,1.26,nan,nan,nan,nan
2024-06-18,288.45,285.1,286.25,287.3,287.2,286.25,10174646,2920370994.95,299.7,185.35,INE028A01039,287.02,0.37,0.40,0.37,nan,nan,nan,nan
2024-06-19,290.5,282.65,287.0,283.95,284.8,287.3,33193685,9484596273.65,299.7,185.35,INE028A01039,285.73,-1.06,2.31,-1.17,nan,nan,nan,nan
2024-06-20,287.7,283.65,284.0,285.2,285.0,283.95,13675594,3902081610.45,299.7,185.35,INE028A01039,285.33,0.42,0.88,0.44,nan,nan,nan,nan
2024-06-21,286.8,278.6,285.2,279.35,280.0,285.2,15165917,4277274122.6,299.7,185.35,INE028A01039,282.03,-2.05,2.67,-2.05,nan,nan,nan,nan
2024-06-24,282.1,273.5,279.5,280.6,281.0,279.35,17778427,4957558712.75,299.7,185.35,INE028A01039,278.85,0.39,0.53,0.45,nan,nan,nan,nan
2024-06-25,283.45,279.0,281.0,280.65,279.6,280.6,13386910,3763676877.65,299.7,185.35,INE028A01039,281.15,-0.12,1.00,0.02,nan,nan,nan,nan
2024-06-26,283.6,279.2,282.0,280.95,281.1,280.65,16075754,4520365782.3,299.7,185.35,INE028A01039,281.19,-0.37,0.94,0.11,nan,nan,nan,nan
2024-06-27,282.9,277.0,280.0,279.85,280.2,280.95,14743494,4126411780.7,299.7,185.35,INE028A01039,279.88,-0.05,1.09,-0.39,nan,nan,nan,nan
2024-06-28,280.8,272.9,273.0,275.4,275.0,279.85,15270017,4226159897.65,299.7,185.35,INE028A01039,276.76,0.88,1.96,-1.59,nan,nan,nan,nan
2024-07-01,276.3,271.75,275.25,272.15,272.05,275.4,12001891,3286913212.95,299.7,185.75,INE028A01039,273.87,-1.13,1.52,-1.18,nan,nan,nan,nan
2024-07-02,273.5,264.2,273.0,265.0,265.2,272.15,13960959,3733811812.4,299.7,185.75,INE028A01039,267.45,-2.93,3.21,-2.63,nan,nan,nan,nan
