timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP,CA
2024-08-02,816.0,782.55,795.0,804.75,804.5,803.7,392852,313488060.1,980,272.1,797.98,
2024-08-05,788.0,745.0,760.0,749.35,748.0,804.75,441953,334830170.9,980,282.0,757.61,
2024-08-06,824.85,785.0,792.65,788.65,786.8,749.35,1185546,953750670.0,980,282.0,804.48,
2024-08-07,803.95,784.8,792.0,799.55,800.0,788.65,266251,211758381.25,980,282.0,795.33,
2024-08-08,835.0,800.55,803.8,828.9,833.5,799.55,533312,441619076.95,980,282.0,828.07,
2024-08-09,853.0,827.0,840.0,833.6,833.5,828.9,282500,237848815.55,980,282.0,841.94,
2024-08-12,850.0,816.5,828.0,822.1,825.45,833.6,185854,155041443.3,980,300.0,834.21,
2024-08-13,835.9,795.3,828.95,799.0,800.5,822.1,143242,116032054.45,980,300.0,810.04,
2024-08-14,809.4,781.0,799.0,793.65,795.4,799.0,164592,130705115.8,980,300.0,794.12,
2024-08-16,832.0,800.1,800.95,823.4,820.0,793.65,219213,180281287.0,980,300.0,822.4,
2024-08-19,833.95,801.95,831.6,806.1,810.0,823.4,219991,179329371.15,980,300.0,815.17,
2024-08-20,815.9,785.2,814.0,799.0,800.4,806.1,226381,180218650.7,980,300.0,796.09,
2024-08-21,819.3,800.4,800.4,813.4,812.45,799.0,133020,108145134.65,980,300.0,813.0,
2024-08-22,820.0,807.6,816.0,812.25,818.0,813.4,136354,110859744.2,980,300.0,813.03,
2024-08-23,824.0,794.6,823.0,798.55,800.4,812.25,151532,122156097.5,980,300.0,806.14,
2024-08-26,819.0,801.05,807.0,814.05,817.75,798.55,188951,153400078.7,980,300.0,811.85,
2024-08-27,840.85,811.0,818.05,816.9,824.0,814.05,265754,218890195.75,980,300.0,823.66,"[{'symbol': 'SCHNEIDER', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': 'Annual General Meeting', 'exDate': '27-Aug-2024', 'recDate': '-', 'bcStartDate': '28-Aug-2024', 'bcEndDate': '03-Sep-2024', 'ndStartDate': '-', 'comp': 'Schneider Electric Infrastructure Limited', 'isin': 'INE839M01018', 'ndEndDate': '-', 'caBroadcastDate': None}]"
2024-08-28,830.0,793.95,820.0,798.4,799.0,816.9,234176,188827835.7,980,300.0,806.35,
2024-08-29,807.25,781.6,802.0,792.95,790.0,798.4,221225,175185366.8,980,300.0,791.89,
2024-08-30,835.0,787.5,792.95,829.65,828.0,792.95,353923,290189200.9,980,300.0,819.92,
