timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP
2024-08-02,1033.95,1008.6,1027.0,1018.4,1019.0,1038.9,505970,516130890.55,1207.3,548.6,1020.08
2024-08-05,995.0,900.0,900.0,974.9,980.0,1018.4,2404132,2337838143.65,1207.3,548.6,972.43
2024-08-06,996.5,965.05,975.0,970.15,969.0,974.9,661068,647345794.8,1207.3,548.6,979.24
2024-08-07,996.95,962.55,977.85,992.05,995.0,970.15,810283,794745725.1,1207.3,548.6,980.82
2024-08-08,1015.65,965.1,999.0,985.55,984.9,992.05,923851,913844204.0,1207.3,548.6,989.17
2024-08-09,1009.7,970.5,988.0,1006.2,1003.65,985.55,811479,802639644.4,1207.3,548.6,989.11
2024-08-12,1051.45,997.25,1000.0,1045.05,1045.0,1006.2,636117,655823606.8,1207.3,548.6,1030.98
2024-08-13,1050.0,1030.05,1040.0,1047.9,1045.05,1045.05,794561,829604145.75,1207.3,548.6,1044.1
2024-08-14,1120.8,1040.05,1047.9,1107.0,1100.1,1047.9,2298195,2499966296.95,1207.3,548.6,1087.8
2024-08-16,1160.0,1113.65,1118.0,1156.45,1153.8,1107.0,1471405,1678092227.4,1207.3,548.6,1140.47
2024-08-19,1181.9,1151.65,1165.0,1173.9,1172.0,1156.45,909761,1061317159.65,1207.3,548.6,1166.59
2024-08-20,1179.7,1142.5,1173.9,1159.05,1158.8,1173.9,635979,738244909.05,1207.3,548.6,1160.8
2024-08-21,1192.0,1146.7,1150.0,1167.95,1166.1,1159.05,955371,1119983379.9,1207.3,548.6,1172.3
2024-08-22,1174.8,1130.0,1174.8,1137.85,1130.5,1167.95,409517,470478472.8,1207.3,548.6,1148.86
2024-08-23,1137.85,1101.25,1137.85,1115.85,1117.4,1137.85,607836,675933561.6,1207.3,548.6,1112.03
2024-08-26,1137.0,1093.45,1126.95,1098.2,1099.7,1115.85,307607,340323067.4,1207.3,548.6,1106.36
2024-08-27,1121.0,1078.7,1098.8,1115.65,1120.95,1098.2,513247,563840039.15,1207.3,548.6,1098.57
2024-08-28,1140.0,1092.7,1122.75,1128.15,1130.0,1115.65,792988,880298181.95,1207.3,548.6,1110.1
2024-08-29,1158.65,1119.95,1128.15,1126.85,1126.2,1128.15,864193,984296298.25,1207.3,548.6,1138.98
2024-08-30,1186.0,1118.0,1127.9,1173.9,1177.0,1126.85,1267640,1478753073.45,1207.3,548.6,1166.54
